City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hamilton,39.1834,-84.5333,31.91,55,0,3.09,US,1690325081
85,taseyevo,57.2169,94.8978,16.68,97,100,1.23,RU,1690325125
86,meulaboh,4.1363,96.1285,24.62,92,94,1.68,ID,1690325125
87,haiku-pauwela,20.9219,-156.3051,29.54,65,20,12.35,US,1690325126
88,guanica,17.9716,-66.908,27.84,73,97,6.36,PR,1690325126
89,tommot,58.9564,126.2925,20.93,83,39,0.65,RU,1690325032
90,carloforte,39.145,8.3058,24.69,67,0,8.69,IT,1690325126
91,colonelganj,27.1333,81.7,28.05,76,98,2.82,IN,1690325126
92,fale old settlement,-9.3852,-171.2468,28.61,76,8,8.52,TK,1690325127
93,illela,13.7292,5.2975,32.36,51,76,3.54,NG,1690325127
94,severo-yeniseyskiy,60.3725,93.0408,15.49,94,76,1.05,RU,1690325127
95,malkerns,-26.5667,31.1833,11.18,92,42,1.56,SZ,1690325127
96,sucua,-2.4667,-78.1667,26.41,61,20,3.6,EC,1690325128
97,yellowknife,62.456,-114.3525,25.31,22,75,10.29,CA,1690324967
98,cidade velha,14.9167,-23.6167,26.26,83,75,6.17,CV,1690325128
99,carnarvon,-24.8667,113.6333,16.65,57,34,6.76,AU,1690325128
100,zeya,53.75,127.2667,21.49,59,28,0.33,RU,1690325128
101,port elizabeth,-33.918,25.5701,10.16,66,0,3.09,ZA,1690325129
102,zhosaly,45.4878,64.0781,31.09,24,3,4.58,KZ,1690325129
103,wailua homesteads,22.0669,-159.378,30.44,73,20,6.69,US,1690325129
104,nemuro,43.3236,145.575,17.29,97,89,0.25,JP,1690325130
105,cova figueira,14.8905,-24.2934,23.11,90,64,6.87,CV,1690325130
106,petrovsk-zabaykal'skiy,51.273,108.843,15.48,80,84,0.93,RU,1690325130
107,margaret river,-33.95,115.0667,11.78,80,100,8.64,AU,1690325130
108,jinchang,38.4953,102.1739,27.12,26,100,2.9,CN,1690325130
109,gadzhiyevo,69.2551,33.3362,9.49,96,83,2.56,RU,1690325131
110,masterton,-40.9597,175.6575,7.16,86,100,5.51,NZ,1690325131
111,basco,20.4487,121.9702,28.56,88,100,23.77,PH,1690325131
112,ilulissat,69.2167,-51.1,3.01,100,100,2.06,GL,1690325132
113,harper,4.375,-7.7169,24.72,86,100,3.84,LR,1690325132
114,sunne,59.8376,13.143,12.18,96,57,1.76,SE,1690325132
115,malvan,16.0667,73.4667,25.54,88,100,7.57,IN,1690325132
116,vadso,70.0744,29.7487,9.49,93,100,2.57,NO,1690325133
117,madurantakam,12.5167,79.9,26.9,64,100,3.98,IN,1690325133
118,thompson,55.7435,-97.8558,23.09,40,40,4.63,CA,1690324940
119,rabo de peixe,37.8,-25.5833,20.73,83,75,1.54,PT,1690325133
120,hermanus,-34.4187,19.2345,8.78,61,31,2.48,ZA,1690325114
121,arkhangel'sk,64.5401,40.5433,13.0,94,68,1.76,RU,1690325134
122,fernandopolis,-20.2839,-50.2464,23.29,46,22,3.27,BR,1690325134
123,hithadhoo,-0.6,73.0833,28.1,79,98,7.0,MV,1690325134
124,alice springs,-23.7,133.8833,3.75,81,13,0.0,AU,1690324883
125,papatowai,-46.5619,169.4708,6.68,79,55,5.07,NZ,1690325134
126,rio grande,-32.035,-52.0986,16.06,90,100,6.97,BR,1690325038
127,weligama,5.9667,80.4167,25.2,88,100,3.39,LK,1690325135
128,badger,64.8,-147.5333,27.3,54,75,5.14,US,1690325135
129,east london,-33.0153,27.9116,14.85,33,100,2.5,ZA,1690325135
130,happy valley-goose bay,53.3168,-60.3315,20.17,83,75,3.6,CA,1690325135
131,college,64.8569,-147.8028,27.34,58,75,5.14,US,1690325135
132,ancud,-41.8697,-73.8203,8.14,87,5,4.81,CL,1690325136
133,salmon arm,50.6998,-119.3024,25.24,35,71,3.09,CA,1690325136
134,caleta de carquin,-11.0925,-77.6267,20.21,80,20,5.7,PE,1690325136
135,morris,40.8334,-74.5329,21.23,94,75,0.0,US,1690324954
136,vorgashor,67.5833,63.95,15.53,86,99,3.3,RU,1690325136
137,nuuk,64.1835,-51.7216,12.34,58,20,5.66,GL,1690325136
138,majene,-3.5403,118.9707,24.16,88,17,3.95,ID,1690325137
139,illizi,26.4833,8.4667,33.89,12,1,4.72,DZ,1690325137
140,saint-philippe,-21.3585,55.7679,19.77,77,42,1.88,RE,1690324619
141,kingston,17.997,-76.7936,31.53,73,20,10.8,JM,1690325028
142,ust-nera,64.5667,143.2,17.46,65,73,1.41,RU,1690325137
143,kavieng,-2.5744,150.7967,27.38,81,94,6.75,PG,1690325138
144,tofol,5.3248,163.0078,30.88,70,75,1.54,FM,1690325138
145,selfoss,63.9331,-20.9971,11.69,88,100,2.3,IS,1690325138
146,corinto,37.9407,22.9573,29.32,36,0,1.7,GR,1690324861
147,santa ana,33.7456,-117.8678,41.47,51,20,5.14,US,1690324946
148,mirador,-6.3708,-44.3631,26.18,38,8,1.46,BR,1690325139
149,hanzhong,33.0728,107.0303,23.23,89,98,0.48,CN,1690325139
150,al jawf,29.5,38.75,29.23,18,18,4.35,SA,1690325139
151,banamba,13.55,-7.45,26.03,75,94,4.21,ML,1690325139
152,tashtagol,52.7657,87.8894,13.11,99,59,1.38,RU,1690325009
153,minas de marcona,-15.2119,-75.1103,13.3,82,13,5.8,PE,1690325140
154,witu,-2.3889,40.4382,25.09,81,38,5.18,KE,1690325140
155,al bayda',32.7627,21.7551,26.1,39,0,2.49,LY,1690325140
156,fort stockton,30.894,-102.8793,36.76,19,18,1.34,US,1690325140
157,nuku'alofa,-21.1333,-175.2,24.19,60,40,2.57,TO,1690325141
158,ta`u,-14.2336,-169.5144,25.54,69,37,4.26,AS,1690325141
159,bunbury,-33.3333,115.6333,11.61,86,100,5.92,AU,1690325141
160,khandyga,62.6667,135.6,19.71,82,36,1.18,RU,1690325141
161,tsiombe,-25.3,45.4833,17.82,57,52,2.73,MG,1690325142
162,peace river,56.2501,-117.286,15.17,94,100,6.69,CA,1690324913
163,motygino,58.1831,94.7592,17.21,98,97,0.81,RU,1690325142
164,nishifukuma,33.7667,130.4667,27.0,78,7,1.18,JP,1690325142
165,beaumont,30.0861,-94.1019,36.17,51,40,5.14,US,1690325143
166,iskateley,67.6803,53.1512,13.6,87,19,2.8,RU,1690325143
167,palmas,-10.2128,-48.3603,27.93,44,0,0.51,BR,1690325143
168,yamada,39.4667,141.95,28.38,66,8,0.38,JP,1690325143
169,caburan,5.9181,125.6411,27.13,79,70,3.53,PH,1690325144
170,humaita,-7.5061,-63.0208,27.43,42,9,0.57,BR,1690325144
171,brookings,44.3114,-96.7984,33.43,60,20,7.2,US,1690324954
172,fort bragg,35.139,-79.006,33.32,51,0,3.6,US,1690325145
173,lospalos,-8.5186,127.0025,19.32,83,75,2.77,TL,1690325145
174,sao felix do xingu,-6.6447,-51.995,25.66,43,4,0.57,BR,1690325145
175,kailua-kona,19.6406,-155.9956,28.61,80,40,4.12,US,1690325146
176,deer park,29.7052,-95.1238,36.77,56,20,5.14,US,1690324932
177,at taj,24.2049,23.2857,29.92,15,2,4.9,LY,1690325146
178,kichmengskiy gorodok,59.9816,45.7854,11.03,94,24,1.18,RU,1690325146
179,waddan,29.1614,16.139,33.12,15,0,4.87,LY,1690325147
180,waycross,31.2136,-82.354,34.14,66,0,1.54,US,1690324684
181,tralee,52.2704,-9.7026,12.28,95,8,2.51,IE,1690325147
182,atafu village,-8.5421,-172.5159,29.09,72,10,8.79,TK,1690325147
183,uturoa,-16.7333,-151.4333,26.81,80,8,5.96,PF,1690325148
184,mweka,-4.85,21.5667,22.88,38,4,0.37,CD,1690325148
185,jinghong,21.991,100.7341,22.39,89,99,0.63,CN,1690325148
186,broken hill,-31.95,141.4333,10.08,58,0,2.82,AU,1690325149
187,sisimiut,66.9395,-53.6735,7.49,81,64,4.77,GL,1690325149
188,lebu,-37.6167,-73.65,10.38,83,83,2.55,CL,1690325149
